,Company,Location,Salary,Synopsis,Title,min_salary,max_salary,avg_salary,analysis_yn,models_yn,software_yn,sales_yn,security_yn,marketing_yn
8,CHALO,Karachi, 35000,"Online exam set up and data entry.Working in our Customer Services and Support team and liaising closely with sales and development, you will primarily be…",Customer Support Representative,35.0,35.0,35.0,0,0,0,1,0,0
12,Megatech Trackers,Karachi, 20000 -  80000,"Translate data models into schemas.Thus, provides high-quality data analysis.Develop data solutions for reporting and disaster recovery preparedness.",Software Engineer,20.0,80.0,50.0,1,1,0,0,0,0
19,Megatech Trackers,Karachi, 20000 -  80000,"Translate data models into schemas.Thus, provides high-quality data analysis.Develop data solutions for reporting and disaster recovery preparedness.",Software Developer,20.0,80.0,50.0,1,1,0,0,0,0
24,Travel Express,Karachi, 100000,"We are looking for a Data Scientist who will support our product, sales, leadership and marketing teams with insights gained from analyzing company data.",Senior Data Scientist,100.0,100.0,100.0,0,1,0,1,0,1
31,Celeritas Solutions,Karachi, 70000 -  100000,Work with data scientists and analysts to improve software.Create security and data protection settings.Celeritas Solutions is looking for a Senior Full Stack…,Sr. Full Stack Developer,70.0,100.0,85.0,1,1,0,0,1,0
37,BreakThru,Karachi, 35000 -  50000,"Your primary focus will be to learn the codebase, gather user data, and respond to requests from senior developers.Working on minor bug fixes.",Jr Software Engineer,35.0,50.0,42.5,0,0,0,0,0,0
38,WADIC,Karachi, 30000 -  60000,We are Hiring --- *Junior Support Engineer.Junior Support Engineer (Zoho CRM preferred)*.Deliver sales forecasting and reporting data as requested.,Junior Support Engineer,30.0,60.0,45.0,1,0,0,1,0,0
40,Sybrid Pvt Ltd,Karachi, 40000 -  50000,"Collaborate with data engineers to build data and model pipelines.Should have clear understanding of data structures, data modeling and model evaluation.",Machine Learning Engineer,40.0,50.0,45.0,0,0,0,0,0,0
53,Ranipur Sugar Mills,Karachi, 30000 -  50000,"Our team is looking to for a new addition, who will be a research analyst with the following job requirements:",Research Analyst,30.0,50.0,40.0,1,0,0,0,0,0
67,Squarehouse,Karachi, 50000 -  75000,"Works with multi-functional business units to understand and document project objectives, scope, requirements, milestone, deliverable, schedule and cost…",Business Analyst,50.0,75.0,62.5,0,0,0,0,0,0
68,Nexus Corporation,Karachi, 90000,A minimum of 5 years’ experience as a business analyst.Ensuring solutions meet business needs and requirements.Managing competing resources and priorities.,Business Analyst,90.0,90.0,90.0,1,0,0,0,0,0
69,Code Avenue,Karachi, 40000 -  60000,"Required to create business proposals, gantt chart, user stories, functional and design specification documents etc.Team player and good interpersonal skills.",Business Analyst/PM,40.0,60.0,50.0,0,0,0,0,0,0
70,Technado (Pvt) Ltd,Karachi, 40000 -  60000,"Business Analyst in IT / Tech Industry:Creating a detailed business analysis, outlining problems, opportunities and solutions for a business.",Business Analyst,40.0,60.0,50.0,1,0,0,0,0,0
74,Appedology PVT Ltd.,Karachi, 30000 -  60000,"Appedology is looking for a Business Analyst.Translate the business needs into technical requirements.Scope process, create, document and modify business…",Business Analyst - Night Shift,30.0,60.0,45.0,1,0,0,0,0,0
