,Company,Location,Salary,Synopsis,Title,analysis_yn,models_yn,software_yn,sales_yn,security_yn,marketing_yn,experience_yn
0,TOP Agency,Faisalabad,None,"If so, you might make a killer Data Scientist.Source publicly available data for developing internal reports and data programs for clients.",Data Scientist,1,1,0,0,0,0,0
1,TechnoSaurs,Faisalabad,None,"Work with data scientists and analysts to improve software.Create security and data protection settings.As a Full Stack Developer, you should be comfortable…",MERN Stack Developer,1,1,0,0,1,0,0
2,TOP Agency,Faisalabad,None,"Our team of world-class writers, communicators, storytellers, data wranglers, and viral marketers feels like the early days of Facebook or Google...",Social Media Manager,0,0,0,0,0,0,0
3,Cobblestone Energy,Faisalabad,None,"Junior Trader / Analyst - Commercial Development Programme - Dubai, UAE.We make use of advanced data analytics and extensive research to drive profitable…","JUNIOR TRADER / ANALYST - Dubai, UAE",1,0,0,0,0,0,0
5,Sherserve,Faisalabad,None,Strong understanding of document management and records retention business processes.Participate in business re-engineering efforts related to the use of…,Business Analyst,0,0,0,0,0,0,0
6,Cobblestone Energy,Faisalabad,None,"Junior Trader / Analyst - Commercial Development Programme - Dubai, UAE.Technology and risk management form the backbone of our business.","JUNIOR TRADER / ANALYST - Dubai, UAE",1,0,0,0,0,0,0
7,Sherserve,Faisalabad,None,Involvement in requirements analysis in coordination with business analyst and software architect.Working with software architect to refine and elaborate…,Senior Software Developer,1,0,0,0,0,0,0
8,CHALO,Karachi,"Rs 35,000 a month","Online exam set up and data entry.Working in our Customer Services and Support team and liaising closely with sales and development, you will primarily be…",Customer Support Representative,0,0,0,1,0,0,0
9,Medusa Pakistan,None,None,"Performs data ports and data loads;Monitors and tests data integrity as required.The Database Administrator also is responsible for maintaining applications,…",Database Administrator,0,0,0,0,0,0,0
10,Cobblestone Energy,Karachi,None,"High level of interest in data;For the UK market, they are the system administrator.Strong experience working with relational databases and managing large…","CHIEF TECHNOLOGY OFFICER - Dubai , UAE",0,0,0,0,0,0,1
11,Cobblestone Energy,Karachi,None,"For the UK market, they are the system administrator.We make use of advanced data analytics and extensive research to drive profitable decision making, trading…","Management Consultant / COO - Dubai , UAE",0,0,0,0,0,0,0
12,Megatech Trackers,Karachi,"Rs 20,000 - Rs 80,000 a month","Translate data models into schemas.Thus, provides high-quality data analysis.Develop data solutions for reporting and disaster recovery preparedness.",Software Engineer,1,1,0,0,0,0,0
13,Traffic Digital,Karachi,None,Manage Salesforce.com data feeds and other integrations (Preferred).Serve as a primary system administrator for the Salesforce.com environment (preferred).,Head of IT,0,0,0,1,0,0,0
14,KMNR Engineering,Karachi,None,"Responsibilities include data entry, tracking, recording, follow up and electronic filing of documentation.Maintain various filing systems including electronic…",Human Resources (HR) Assistant / Administrator,0,0,0,0,0,0,0
15,WaqarTech,Karachi,None,Performing data backups and disaster recovery operations.System/Network Administrator for our Karachi office with at-least 1 year of core field experience.,Jr. System/Network Administrator,0,0,0,0,0,0,1
16,Cobblestone Energy,Karachi,None,"For the UK market, they are the system administrator.We make use of advanced data analytics and extensive research to drive profitable decision making, trading…","HUMAN RESOURCE MANAGER - Dubai , UAE",0,0,0,0,0,0,0
17,Technosys,Karachi,None,"Experience of data center will be plus.We are looking for experienced System and Network Administrator, who can design and implement network infrastructure,…",System and Network Administrator,0,0,0,0,0,0,1
18,Human Capital Solutions,Karachi,None,"Maintaining data standards, including adherence to the Data Protection Act;Writing database documentation, including data standards, procedures and definitions…",Database Administrator,0,0,0,0,0,0,0
19,Megatech Trackers,Karachi,"Rs 20,000 - Rs 80,000 a month","Translate data models into schemas.Thus, provides high-quality data analysis.Develop data solutions for reporting and disaster recovery preparedness.",Software Developer,1,1,0,0,0,0,0
20,Sepia Solutions,Karachi,None,"We are looking for a professional to join our team of technical solution specialists with a good understanding of IT services including Web Hosting, Email…",Email And Server Administrator,0,0,0,0,0,0,0
21,Human Capital Solutions,Karachi,None,Manage novice system administrators or operators.Patch management for all data centers servers.Monitoring and in time resolution of problems on data centers…,Required Senior Systems Administrator,0,0,0,0,0,0,0
22,Artistic Fabric Mills,Karachi,None,"Database administrators (DBAs) use specialized software to store and organize data.The role may include capacity planning, installation, configuration,…",Oracle EBS DBA,0,0,0,0,0,0,0
23,Center for Non-Communicable Diseases-CNCD,Karachi,None,"Knowledge of algorithms for data mining, machine learning, and/or natural language processing.Good to have experience with Data Science tools such as Pandas…",Data Scientist,0,0,0,0,0,0,1
24,Travel Express,Karachi,"Rs 100,000 a month","We are looking for a Data Scientist who will support our product, sales, leadership and marketing teams with insights gained from analyzing company data.",Senior Data Scientist,0,1,0,1,0,1,0
25,Joyland,Karachi,None,Looking for a Data Scientist on contract basis for data mining.Candidates must have a relevant experience of 2-4 years.,Data Scientist,0,1,0,0,0,0,1
26,Data Science Dojo,Karachi,None,We are looking for someone Certified by Microsoft as an Azure Data Scientist Associate or Azure Data Engineer Associate who you will embed deeply within Data…,Azure Data Scientist Associate,0,1,0,0,0,0,0
27,VITAL Pakistan Trust,Karachi,None,Write complex and optimized queries to transform data from JSON format into standardized data tables.Understanding of real-time data pipelines and streaming…,Data Analyst,0,0,0,0,0,0,0
28,Royal Cyber Inc,Karachi,None,"Explore and extract insights from massive dataset of geospatial, behavioral, economic, and the interaction of millions of passengers, parcel and drivers and…",Software Engineer (Big Data Machine Learning),0,0,0,0,0,0,0
29,Careem,Karachi,None,Perform A/B testing working with data analysts and data scientists to validate and iterate product increments that demonstrate customer and business value.,Product Manager II,1,1,0,0,0,0,0
30,Afiniti,Karachi,None,Works alongside data scientists to identify new data sources and to optimize / identify features in existing data sources.The ideal candidate will have.,Python Big Data Engineer,0,1,0,0,0,0,0
31,Celeritas Solutions,Karachi,"Rs 70,000 - Rs 100,000 a month",Work with data scientists and analysts to improve software.Create security and data protection settings.Celeritas Solutions is looking for a Senior Full Stack…,Sr. Full Stack Developer,1,1,0,0,1,0,0
32,SnapWeb Services,Karachi,None,Work with data scientists and analysts to improve software.Create security and data protection settings.Is a full-service marketing solutions & consulting…,Staff Software Engineer - Full Stack,1,1,0,0,1,1,0
33,"Community Health Sciences, Medical College",Karachi,None,Proficiency in use of computer software packages used for epidemiological and statistical analysis of data.Aga Khan University's (AKU) Department of Community…,Associate Professor,0,0,0,0,0,0,0
34,Royal Cyber Inc,Karachi,None,"Explore and extract insights from massive dataset of geospatial, behavioral, economic, and the interaction of millions of passengers, parcel and drivers and…",Senior Software Engineer (Big Data Machine Learning),0,0,0,0,0,0,0
35,DMK Consultancy International,Karachi,None,"Hire IT specialists, data scientists, developers, programmers for the Product.Products that are under development by the company may also require…",Chief Technical Officer (CTO - Software Development),0,1,0,0,0,0,0
36,VavaCars,Karachi,None,"Manage all creative and brand development with a data driven approach to creative optimization.We believe in detail and thus, use marketing data, metrics, and…",Marketing Director,0,0,0,0,0,1,0
37,BreakThru,Karachi,"Rs 35,000 - Rs 50,000 a month","Your primary focus will be to learn the codebase, gather user data, and respond to requests from senior developers.Working on minor bug fixes.",Jr Software Engineer,0,0,0,0,0,0,0
38,WADIC,Karachi,"Rs 30,000 - Rs 60,000 a month",We are Hiring --- *Junior Support Engineer.Junior Support Engineer (Zoho CRM preferred)*.Deliver sales forecasting and reporting data as requested.,Junior Support Engineer,1,0,0,1,0,0,0
39,qordata,Karachi,None,"You will help with Data Extraction, Data Transformation, Data Mapping and Data Cleansing and also develop the ETL Scripts.Are good in SQL writing.",Data Engineer,0,0,0,0,0,0,0
40,Sybrid Pvt Ltd,Karachi,"Rs 40,000 - Rs 50,000 a month","Collaborate with data engineers to build data and model pipelines.Should have clear understanding of data structures, data modeling and model evaluation.",Machine Learning Engineer,0,0,0,0,0,0,0
41,BariTechSol,Karachi,None,"We need a Software Quality Assurance engineer who is hardworking, excellent in communication and understand project requirements to deliver a quality product.",Software Quality Assurance Engineer,0,0,0,0,0,0,0
42,qordata,Karachi,None,Have good knowledge of Data Retrieval from Source Systems and Data to Visual mapping.Sound Data Sciences concepts and Skills.Are fit into our culture.,BI Engineer,0,0,0,0,0,0,0
43,Ebizsoft Pvt Ltd,Karachi,None,"Enterprise deployment skills regarding Microsoft server editions (Core, Nano, Data center & standard editions).The position’s responsibilities would include:",IT Infrastructure Engineer,0,0,0,0,0,0,0
