,Company,Location,Salary,Synopsis,Title,Predicted_Salary
0,TOP Agency,Faisalabad,None,"If so, you might make a killer Data Scientist.Source publicly available data for developing internal reports and data programs for clients.",Data Scientist,38790
1,TechnoSaurs,Faisalabad,None,"Work with data scientists and analysts to improve software.Create security and data protection settings.As a Full Stack Developer, you should be comfortable…",MERN Stack Developer,41495
2,TOP Agency,Faisalabad,None,"Our team of world-class writers, communicators, storytellers, data wranglers, and viral marketers feels like the early days of Facebook or Google...",Social Media Manager,52110
3,Cobblestone Energy,Faisalabad,None,"Junior Trader / Analyst - Commercial Development Programme - Dubai, UAE.We make use of advanced data analytics and extensive research to drive profitable…","JUNIOR TRADER / ANALYST - Dubai, UAE",43460
4,Sherserve,Faisalabad,None,Strong understanding of document management and records retention business processes.Participate in business re-engineering efforts related to the use of…,Business Analyst,58375
5,Cobblestone Energy,Faisalabad,None,"Junior Trader / Analyst - Commercial Development Programme - Dubai, UAE.Technology and risk management form the backbone of our business.","JUNIOR TRADER / ANALYST - Dubai, UAE",43460
6,Sherserve,Faisalabad,None,Involvement in requirements analysis in coordination with business analyst and software architect.Working with software architect to refine and elaborate…,Senior Software Developer,49130
7,CHALO,Karachi,"Rs 35,000 a month","Online exam set up and data entry.Working in our Customer Services and Support team and liaising closely with sales and development, you will primarily be…",Customer Support Representative,40525
8,Medusa Pakistan,None,None,"Performs data ports and data loads;Monitors and tests data integrity as required.The Database Administrator also is responsible for maintaining applications,…",Database Administrator,29950
9,Cobblestone Energy,Karachi,None,"High level of interest in data;For the UK market, they are the system administrator.Strong experience working with relational databases and managing large…","CHIEF TECHNOLOGY OFFICER - Dubai , UAE",47425
10,Cobblestone Energy,Karachi,None,"For the UK market, they are the system administrator.We make use of advanced data analytics and extensive research to drive profitable decision making, trading…","Management Consultant / COO - Dubai , UAE",44600
11,Megatech Trackers,Karachi,"Rs 20,000 - Rs 80,000 a month","Translate data models into schemas.Thus, provides high-quality data analysis.Develop data solutions for reporting and disaster recovery preparedness.",Software Engineer,51190
12,Traffic Digital,Karachi,None,Manage Salesforce.com data feeds and other integrations (Preferred).Serve as a primary system administrator for the Salesforce.com environment (preferred).,Head of IT,45095
13,KMNR Engineering,Karachi,None,"Responsibilities include data entry, tracking, recording, follow up and electronic filing of documentation.Maintain various filing systems including electronic…",Human Resources (HR) Assistant / Administrator,38200
14,WaqarTech,Karachi,None,Performing data backups and disaster recovery operations.System/Network Administrator for our Karachi office with at-least 1 year of core field experience.,Jr. System/Network Administrator,53130
15,Cobblestone Energy,Karachi,None,"For the UK market, they are the system administrator.We make use of advanced data analytics and extensive research to drive profitable decision making, trading…","HUMAN RESOURCE MANAGER - Dubai , UAE",41350
16,Technosys,Karachi,None,"Experience of data center will be plus.We are looking for experienced System and Network Administrator, who can design and implement network infrastructure,…",System and Network Administrator,49335
17,Human Capital Solutions,Karachi,None,"Maintaining data standards, including adherence to the Data Protection Act;Writing database documentation, including data standards, procedures and definitions…",Database Administrator,37775
18,Megatech Trackers,Karachi,"Rs 20,000 - Rs 80,000 a month","Translate data models into schemas.Thus, provides high-quality data analysis.Develop data solutions for reporting and disaster recovery preparedness.",Software Developer,51190
19,Sepia Solutions,Karachi,None,"We are looking for a professional to join our team of technical solution specialists with a good understanding of IT services including Web Hosting, Email…",Email And Server Administrator,37925
20,Human Capital Solutions,Karachi,None,Manage novice system administrators or operators.Patch management for all data centers servers.Monitoring and in time resolution of problems on data centers…,Required Senior Systems Administrator,46780
21,Artistic Fabric Mills,Karachi,None,"Database administrators (DBAs) use specialized software to store and organize data.The role may include capacity planning, installation, configuration,…",Oracle EBS DBA,54425
22,Center for Non-Communicable Diseases-CNCD,Karachi,None,"Knowledge of algorithms for data mining, machine learning, and/or natural language processing.Good to have experience with Data Science tools such as Pandas…",Data Scientist,44900
23,Travel Express,Karachi,"Rs 100,000 a month","We are looking for a Data Scientist who will support our product, sales, leadership and marketing teams with insights gained from analyzing company data.",Senior Data Scientist,79925
24,Joyland,Karachi,None,Looking for a Data Scientist on contract basis for data mining.Candidates must have a relevant experience of 2-4 years.,Data Scientist,44095
25,Data Science Dojo,Karachi,None,We are looking for someone Certified by Microsoft as an Azure Data Scientist Associate or Azure Data Engineer Associate who you will embed deeply within Data…,Azure Data Scientist Associate,65135
26,VITAL Pakistan Trust,Karachi,None,Write complex and optimized queries to transform data from JSON format into standardized data tables.Understanding of real-time data pipelines and streaming…,Data Analyst,41955
